,city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
0,Athens,GA,9,January,33.9519,-83.3576,43,PM2.5,Good,7,7
1,Baltimore,MD,7,January,39.2904,-76.6122,37,PM2.5,Good,1,14
2,Boston,MA,3,January,42.3601,-71.0589,41,PM2.5,Good,4,17
3,Chapel Hill,NC,10,January,35.9132,-79.0558,25,PM2.5,Good,2,9
4,Charlotte,NC,9,January,35.2271,-80.8431,42,PM2.5,Good,4,10
5,Chicago,IL,0,January,41.8781,-87.6298,53,PM2.5,Moderate,2,15
6,Cleveland,OH,3,January,41.4993,-81.6944,49,PM2.5,Good,4,18
7,Dallas,TX,11,January,32.7767,-96.797,45,PM2.5,Good,1,13
8,Denver,CO,-2,January,39.7392,-104.9903,58,PM2.5,Moderate,0,10
9,Detroit,MI,0,January,42.3314,-83.0458,57,PM2.5,Moderate,2,15
10,Greensboro,NC,7,January,36.0726,-79.7915,32,PM2.5,Good,3,10
11,Houston,TX,16,January,29.7604,-95.3698,59,PM2.5,Good,5,18
12,Ithaca,NY,0,January,42.444,-76.5019,29,Ozone,Good,3,12
13,Kahului,HI,22,January,20.889,-156.4743,23,PM2.5,Good,3,11
14,Los Angeles,CA,13,January,34.0522,-118.2437,56,PM2.5,Moderate,5,5
15,Madison,WI,-2,January,43.0731,-89.4012,43,PM2.5,Good,1,11
16,Miami,FL,22,January,25.7617,-80.1918,55,PM2.5,Moderate,0,11
17,Minneapolis,MN,-6,January,44.9778,-93.265,60,PM2.5,Good,1,11
18,New York City,NY,5,January,40.7128,-74.006,48,PM2.5,Good,4,10
19,Orlando,FL,18,January,28.5383,-81.3792,43,Ozone,Good,0,10
20,Philadelphia,PA,6,January,39.9526,-75.1652,51,PM2.5,Moderate,2,14
21,Phoenix,AZ,12,January,33.4484,-112.074,66,PM2.5,Moderate,0,8
22,Portland,OR,6,January,45.5155,-122.6793,40,PM2.5,Good,2,13
23,Raleigh,NC,10,January,35.7796,-78.6382,38,PM2.5,Good,2,9
24,Richmond,VA,8,January,37.5407,-77.436,39,PM2.5,Good,2,12
25,San Francisco,CA,11,January,37.7749,-122.4194,40,PM2.5,Good,6,15
26,Seattle,WA,6,January,47.6062,-122.3321,48,PM2.5,Good,2,6
27,State College,PA,2,January,40.7934,-77.86,36,PM2.5,Good,2,10
28,"Washington, D.C.",DC,7,January,38.9072,-77.0369,40,PM2.5,Good,1,13
